product_url,keyword,created_at,product_name
https://www.musinsa.com/app/goods/123456,운동화,2025-12-04T09:29:57.645340,36 스포티즘 맨투맨 (그레이/네이비)
https://www.musinsa.com/app/goods/789012,운동화,2025-12-04T10:09:48.808763,DONA black 선글라스
https://www.musinsa.com/products/5688449,니트,2025-12-04T15:28:03.689800,헤어리 울 블렌드 하프 집업 니트 - 차콜 그레이
https://www.musinsa.com/products/5671133,니트,2025-12-04T15:57:38.167060,에센셜 크루 넥 니트 2팩
https://www.musinsa.com/products/4483959,운동화,2025-12-04T15:58:54.154735,레볼루션 7 M - 블랙:오프 누와르 / FB2207-005
https://www.musinsa.com/products/4852386,운동화,2025-12-04T16:33:46.722658,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY
https://zigzag.kr/catalog/products/158259617,운동화,2025-12-04T16:42:34.557440,몽글몽글 [14cm/12cm/10cm] 이중소가죽 튼튼 스탠딩화 시리즈
https://ssadagu.kr/shop/view.php?platform=1688&num_iid=903909098178&ss_tx=운동화,운동화,2025-12-04T17:16:41.484712,봄 가을 신상품 여성용 운동화 미끄럼 방지 부드러운 밑창 내구성 메쉬 통기성 캐주얼 신발 다용도 라운드 토
https://www.musinsa.com/products/5384281,운동화,2025-12-04T19:23:13.567403,(공용) MXR - 블랙 샌드:블랙
https://www.musinsa.com/products/5718839,운동화,2025-12-04T19:29:10.082948,Amaste V1 (D) (SILVER)
https://product.29cm.co.kr/catalog/3087956,니트,2025-12-05T10:15:00.526303,헤어리 알파카 크롭 가디건 (차콜)
https://product.29cm.co.kr/catalog/3042112,니트,2025-12-05T10:26:10.278308,Whole Garment Crew Knit Dove
https://product.29cm.co.kr/catalog/3455469,니트,2025-12-05T10:29:27.810580,RACOON V-NECK KNIT (3COLORS)
https://product.29cm.co.kr/catalog/2801298,니트,2025-12-05T10:30:20.847005,[7차 리오더] Washable V-neck knit_7colors
https://www.musinsa.com/products/4343121,니트,2025-12-05T11:45:13.496919,헤비 와플 라운드 니트 BROWN
https://www.musinsa.com/products/4331949,니트,2025-12-05T12:07:09.115227,[2PACK]에센셜 소프트 라운드 니트_6COLOR
https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063&dispCatNo=1000001000200010009&trackingCd=Result_1,쿠션,2025-12-08T16:10:26.937332,[2025어워즈/1등쿠션/미니하이라이터+물크림8ml] 정샘물 에센셜 스킨 누더 쿠션(기획/본품+리필) | 올리브영
https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231020&dispCatNo=1000001000200010009&trackingCd=Result_11_30,쿠션,2025-12-08T17:10:27.811961,[이사배브랜드] 투슬래시포 엔젤릭 새틴 쿠션 기획세트  | 올리브영
https://www.eqlstore.com/product/GPGX24090287014/detail?reviewViewYn=Y,패딩,2025-12-08T17:31:23.267285,CON Reversible padding JUMPER PK 콘 리버시블 패딩점퍼 핑크
https://www.eqlstore.com/product/GQE624030502360/detail,패딩,2025-12-08T17:34:40.480703,린드 패딩백 그린 LIND PADDING BAG green
